step,loss
0,10.9375
1,2.234375
2,4.90625
3,19.5
4,28.375
5,2.546875
6,1.734375
7,4.3125
8,3.40625
9,2.40625
10,2.90625
11,2.640625
12,2.515625
13,2.015625
14,2.296875
15,2.578125
16,2.109375
17,2.53125
18,2.3125
19,1.4921875
20,1.671875
21,2.21875
22,1.7265625
23,1.9453125
24,2.203125
25,1.640625
26,1.5
27,2.015625
28,1.84375
29,1.7421875
30,2.03125
31,1.6796875
32,1.109375
33,1.7890625
34,1.671875
35,1.59375
36,1.2578125
37,1.1171875
38,1.546875
39,1.421875
40,1.59375
41,1.2578125
42,1.3046875
43,1.4921875
44,1.3125
45,1.4609375
46,1.734375
47,1.34375
48,1.2265625
49,1.3984375
50,1.1328125
51,1.2734375
52,1.1640625
53,1.3671875
54,1.2265625
55,1.3671875
56,1.2734375
57,1.359375
58,1.5078125
59,1.6171875
60,1.8359375
61,1.3359375
62,1.2734375
63,1.40625
64,1.515625
65,1.4140625
66,1.5859375
67,1.0859375
68,1.59375
69,1.2421875
70,1.234375
71,1.8046875
72,1.5703125
73,1.5234375
74,1.5546875
75,1.15625
76,1.578125
77,1.6875
78,1.375
79,1.09375
80,1.484375
81,1.4375
82,1.796875
83,1.3671875
84,1.59375
85,1.5625
86,1.5390625
87,1.8671875
88,1.34375
89,1.3671875
90,1.4921875
91,1.3359375
92,1.59375
93,1.6953125
94,1.53125
95,1.546875
96,1.6875
97,1.46875
98,1.3984375
99,1.53125
